author,title,description,url,publishedAt,content
NPR Staff,The U.S. is set to reinstate a blockade over the Strait of Hormuz,"The U.S. military announced it will begin its blockade of Iranian ships over the Strait of Hormuz on Tuesday, as Iran vowed to assert its own control over the critical international waterway.",https://www.npr.org/2026/07/14/nx-s1-5893257/us-iran-updates,2026-07-14T09:56:45Z,"The U.S. military announced it will begin its blockade of Iranian ships over the Strait of Hormuz on Tuesday, as Iran vowed to assert its own control over the critical international waterway.
CENTCO… [+6405 chars]"
"Analysis by Brett H. McGurk, CNN",Iran weaponized the Strait of Hormuz. Now its neighbors are building around it,"For the first time in decades, the Middle East is investing seriously in a future in which the Strait of Hormuz may no longer be indispensable.",https://www.cnn.com/2026/07/24/politics/middle-east-energy-map-redrawn-pipeline-projects-mcgurk-vis,2026-07-24T08:00:25Z,"Brett McGurk is a CNN global affairs analyst who served in senior national security positions under Presidents George W. Bush, Barack Obama, Donald Trump and Joe Biden.
Wars often end somewhere diff… [+9402 chars]"
BEN FINLEY,The US military says it's thwarted an Iranian missile attack on American troops,"Iran launched multiple ballistic missiles at American forces in the Middle East on Tuesday, shattering a brief pause in fighting as mediators tried to get bo...",https://www.yahoo.com/news/world/articles/saudi-arabia-says-shot-down-215248145.html,2026-07-28T21:52:48Z,"WASHINGTON (AP) Iran launched multiple ballistic missiles at American forces in the Middle East on Tuesday, shattering a brief pause in fighting as mediators tried to get both sides back to negotiati… [+4562 chars]"
By Jonathan Saul and Renee Maltezou,"Some ships refusing US-military guided Hormuz transits after attacks, sources say","By Jonathan Saul and Renee Maltezou LONDON/ATHENS, July 15 (Reuters) - Shipping companies are avoiding using a U.S. military-guided transit scheme through th...",https://www.yahoo.com/news/world/articles/ships-refusing-us-military-guided-154218357.html,2026-07-15T15:42:18Z,"By Jonathan Saul and Renee Maltezou
LONDON/ATHENS, July 15 (Reuters) - Shipping companies are avoiding using a U.S. military-guided transit scheme through the Strait of Hormuz after a wave of Irania… [+4938 chars]"
JON GAMBRELL,US and Iran escalate strikes across Mideast,The United States and Iran exchanged strikes aimed at infrastructure and military targets on Saturday as their battle over the Strait of Hormuz intensified....,https://www.yahoo.com/news/world/articles/ml--iran-us-041126104.html,2026-07-17T04:11:26Z,"DUBAI, United Arab Emirates (AP) The United States and Iran exchanged strikes aimed at infrastructure and military targets on Saturday as their battle over the Strait of Hormuz intensified.
The regi… [+6619 chars]"
JINTAMAS SAKSORNCHAI and ANTON L. DELGADO,Seafarers attacked in the Strait of Hormuz sue shipping company in Thailand,Three former crew members of a Thai cargo ship struck in the Strait of Hormuz in March filed a lawsuit Friday against the vessel’s operator over labor rights...,https://www.yahoo.com/news/world/articles/seafarers-attacked-strait-hormuz-sue-071856930.html,2026-07-10T07:18:56Z,BANGKOK (AP) Three former crew members of a Thai cargo ship struck in the Strait of Hormuz in March filed a lawsuit Friday against the vessel's operator over labor rights violations and unfair dismis… [+3056 chars]
Chris Panella,Trump says the Iran ceasefire is finished. Both sides have been trading fire throughout.,"Fighting only slowed. Throughout the ceasefire, Iran attacked commercial vessels, US forces, and Gulf states, and the US responded with force.",https://www.businessinsider.com/trump-iran-ceasefire-is-over-shooting-didnt-fully-stop-2026-7#article,2026-07-08T16:33:55Z,"Despite an ongoing ceasefire as the US and Iran attempted to broker a deal, both sides have kept up military strikes.US Army Photo
<ul><li>Trump said the US-Iran ceasefire is over and threatened mor… [+5602 chars]"
JON GAMBRELL,"US and Iran vie for Strait of Hormuz, waterway key to global energy supplies, in latest attacks","The United States and Iran each asserted Monday they controlled the Strait of Hormuz after a weekend of attacks stretching across the wider Middle East, furt...",https://www.yahoo.com/news/politics/articles/us-ends-latest-round-airstrikes-024503851.html,2026-07-13T02:45:03Z,"DUBAI, United Arab Emirates (AP) The United States and Iran each asserted Monday they controlled the Strait of Hormuz after a weekend of attacks stretching across the wider Middle East, further threa… [+5664 chars]"
Reuters,"Iran fires missiles at commercial ships in Strait of Hormuz, Axios reports","July 6 (Reuters) - Iran's Revolutionary Guards fired at least two missiles at commercial ships transiting through the Strait of Hormuz on Monday night, Axios...",https://ca.news.yahoo.com/iran-fires-missiles-commercial-ships-020424601.html,2026-07-07T02:23:48Z,"July 6 (Reuters) - Iran's Revolutionary Guards fired at least two missiles at commercial ships transiting through the Strait of Hormuz on Monday night, Axios reported, citing two U.S. officials.
Two… [+2023 chars]"
jepstein@businessinsider.com (Jake Epstein),"2 US troops were killed during an Iranian missile and drone attack, the Pentagon says","The US service members were killed in Jordan on Friday after American and partner forces came under Iranian missile and drone fire, the Pentagon says.",https://www.businessinsider.com/us-troops-killed-iran-war-attack-pentagon-2026-7#article,2026-07-18T18:04:43Z,"Two US service members were killed in Jordan on Friday after American and partner forces came under Iranian missile and drone fire, the Pentagon said on Saturday.
Another US service member is missin… [+1640 chars]"
BY SAMY MAGDY,British military says cargo ship reports attack in the Red Sea off Yemen,"A cargo ship came under attack Sunday off the coast of Yemen in the Red Sea, the British military said, the latest maritime attack off the conflict-torn Arab...",https://www.yahoo.com/news/world/articles/british-military-says-cargo-ship-090250437.html,2026-07-05T09:02:50Z,"CAIRO (AP) A cargo ship came under attack Sunday off the coast of Yemen in the Red Sea, the British military said, the latest maritime attack off the conflict-torn Arab country.
The United Kingdom M… [+1463 chars]"
Thomas Wright,The Ticking Clock on the Strait of Hormuz,"Trump said it himself in June—military force won’t open the waterway, and energy reserves are quickly winding down.",https://www.theatlantic.com/international/2026/07/iran-war-hormuz-strait/688062/,2026-07-25T11:00:00Z,"Back in June, at the closing press conference for the G7 summit in Évian-les-Bains, Donald Trump explained why he had called a halt to hostilities with Iran. Continued bombing would not reopen the St… [+6590 chars]"
"By Jana Choukeir, Enas Alashray, Ahmed Tolba and Menna AlaaElDin",US and Iran target infrastructure as strait shipping comes under further attack,"By Jana Choukeir, Enas Alashray, Ahmed Tolba and Menna AlaaElDin DUBAI/CAIRO, July 17 (Reuters) - The United States on Friday launched a seventh straight nig...",https://www.yahoo.com/news/world/articles/escalation-fears-mount-as-us-hits-bridges-and-iran-strikes-desalination-plant-150747882.html,2026-07-18T01:08:36Z,"By Jana Choukeir, Enas Alashray, Ahmed Tolba and Menna AlaaElDin
DUBAI/CAIRO, July 17 (Reuters) - The United States on Friday launched a seventh straight night of attacks on Iran, which in turn stru… [+4952 chars]"
JON GAMBRELL,Tehran threatens to halt all Mideast energy exports after US reimposes its blockade on Iran,"The U.S. military early Wednesday reimposed a blockade on Iranian ports over Tehran’s attacks on ships trying to pass through the Strait of Hormuz, sparking...",https://www.yahoo.com/news/world/articles/tehran-attacks-jordan-us-reimposes-032534368.html,2026-07-15T03:25:34Z,"DUBAI, United Arab Emirates (AP) The U.S. military early Wednesday reimposed a blockade on Iranian ports over Tehran's attacks on ships trying to pass through the Strait of Hormuz, sparking new strik… [+6331 chars]"
By Asif Shahzad and Mubasher Bukhari,"Pakistan, Iran explore path towards new talks with US in a China-initiated push, sources say","(Changes story date to July 24) By Asif Shahzad and Mubasher Bukhari ISLAMABAD, July 24 (Reuters) - Pakistan is exploring a path towards a resumption of stal...",https://www.yahoo.com/news/articles/pakistan-iran-explore-path-towards-151520155.html,2026-07-24T17:15:48Z,"(Changes story date to July 24)
By Asif Shahzad and Mubasher Bukhari
ISLAMABAD, July 24 (Reuters) - Pakistan is exploring a path towards a resumption of stalled U.S.-Iran talks over ending their ne… [+3814 chars]"
Reuters,"India's MRPL seeks crude via tender avoiding Red Sea and Hormuz, document shows","NEW DELHI/SINGAPORE, July 27 (Reuters) - India's state-owned Mangalore Refinery and Petrochemicals Ltd is seeking to import oil via a spot tender and has, fo...",https://sg.finance.yahoo.com/news/indias-mrpl-seeks-crude-via-085826025.html,2026-07-27T08:58:26Z,"NEW DELHI/SINGAPORE, July 27 (Reuters) - India's state-owned Mangalore Refinery and Petrochemicals Ltd is seeking to import oil via a spot tender and has, for the first time, asked suppliers to avoid… [+1276 chars]"
Ece Yildirim,Iran Claims It ‘Destroyed’ Amazon’s Central Data Infrastructure In Bahrain,This marks the fifth time Iranian forces have claimed to target Amazon facilities in the Middle East.,https://gizmodo.com/iran-claims-it-destroyed-amazons-central-data-infrastructure-in-bahrain-2000788439,2026-07-21T17:45:34Z,"Iranian forces destroyed Amazon’s central data infrastructure in Bahrain, according to state-aligned media reports.
Iran’s Islamic Revolutionary Guard Corps claims to have targeted and destroyed the… [+2890 chars]"
Jude Sheerin,US launches 'powerful' strikes on Iran after attempted attack on American troops,"The US military called the strikes ""a powerful response"" to Tuesday's firing by Iran on US bases in Jordan.",https://www.bbc.com/news/articles/c74gwdzywmeo?xtor=AL-72-%5Bpartner%5D-%5Byahoo.north.america%5D-%5Bheadline%5D-%5Bnews%5D-%5Bbizdev%5D-%5Bisapi%5D,2026-07-30T01:33:59Z,"The US military says it has begun launching strikes against Iran in retaliation for an attempted surprise attack on American forces in the Middle East.
Centcom said on X the strikes were ""a powerful… [+2752 chars]"
Cyril Widdershoven,The Red Sea Is Becoming Saudi Arabia's Biggest Oil Bottleneck,"Saudi Arabia's East-West Pipeline bypasses Hormuz, but a closure of Bab el-Mandeb leaves Yanbu exports facing severe logistical constraints, with the Suez Ca...",https://finance.yahoo.com/energy/articles/red-sea-becoming-saudi-arabias-190000674.html,2026-07-24T19:00:00Z,"For years, Saudi Arabia's strategic answer to any disruption in the Strait of Hormuz has been remarkably straightforward. If volumes via the Persian Gulf were threatened, the answer was to pump west … [+9982 chars]"
"Analysis by Abbas Al Lawati, CNN",Iran chose to restart the fight after the US stopped – and showed a new appetite for risk,Iran has brought days of relative calm in the Middle East to an end after launching what the US called a “surprise” attack in a striking change to the patter...,https://www.cnn.com/2026/07/29/middleeast/why-iran-chose-to-restart-the-fight-us-intl,2026-07-29T17:00:25Z,"Iran has brought days of relative calm in the Middle East to an end after launching what the US called a ""surprise"" attack in a striking change to the pattern of fighting.
Rather than responding to … [+5680 chars]"
David Brennan,"Iran live updates: Kuwait attacked, Bahrain sounds sirens after night of US strikes","President Donald Trump announced ""major combat operations"" against Iran on Feb. 28, with massive joint U.S.-Israeli strikes.",https://abcnews.com/International/live-updates/iran-live-updates-kuwait-attacked-bahrain-sounds-sirens/?id=134907987,2026-07-20T07:30:53Z,"United States forces conducted another wave of attacks against Iran Sunday evening, marking the ninth consecutive night of strikes, according to U.S. Central Command.
""The strikes will continue degr… [+405 chars]"
Max Zahn,Gas prices top $4 a gallon as Iran war escalates,"After declining for weeks, gas prices are rising again.",https://abcnews.com/US/gas-prices-top-4-gallon-iran-war-escalates/story?id=134913938,2026-07-20T15:49:37Z,"Gas prices in the United States topped $4 per gallon on average Monday as an escalation of the Iran war renewed fears of a global oil shortage.
Prices at the pump have jumped 13 cents per gallon, or… [+2442 chars]"
https://www.facebook.com/bbcnews,Saudi Arabia and Houthis exchange fire as US attacks tanker in Hormuz Strait,US military says it disabled a tanker that was attempting to evade the American blockade on Iranian ports.,https://www.bbc.co.uk/news/articles/cj9d27v70j1o,2026-07-25T04:48:40Z,"Saudi Arabia launched airstrikes on Houthi targets in the Yemeni port city of Hodeida and a nearby island on Friday, after the Iran-backed group announced a maritime blockade and attacked Saudi ships… [+3673 chars]"
Al Jazeera Staff,Saudi Arabia announces maritime defence alliance to secure vital waterways,Fourteen nations sign up to alliance to protect vital trade and energy routes amid escalating hostilities.,https://www.aljazeera.com/news/2026/7/30/saudi-arabia-announces-maritime-defence-alliance-to-secure-vital-waterways,2026-07-30T19:57:43Z,"Saudi Arabia and 13 other countries have announced the creation of a maritime military coalition to safeguard freedom of navigation through the Bab al-Mandeb Strait, the Red Sea and the Gulf of Aden.… [+3568 chars]"
Reuters,Houthis say they targeted Saudi east-west oil transport,July 27 (Reuters) - Yemen's Iran-aligned Houthis said on Monday they targeted a number of sensitive crude oil supply and transport sites linking eastern Saud...,https://www.yahoo.com/news/world/articles/houthis-targeted-saudi-east-west-143354773.html,2026-07-27T14:33:54Z,July 27 (Reuters) - Yemen's Iran-aligned Houthis said on Monday they targeted a number of sensitive crude oil supply and transport sites linking eastern Saudi Arabia to the critical Red Sea oil expor… [+957 chars]
Jason Ma,The world is looking ahead toward a post-Iran oil market that offsets most Hormuz volumes in a few years as ships reject a U.S.-backed alternate route,Goldman Sachs estimated that enough Mideast pipeline capacity could be added to insulate 75% of the pre-war Gulf exports by the end of 2028.,https://finance.yahoo.com/energy/articles/world-looking-ahead-toward-post-175103429.html,2026-07-19T17:51:03Z,"Iran's chokehold over the Strait of Hormuz remains firmly in place, but global oil markets could nearly eliminate their dependence on the contested waterway in a few years.
Despite more than a week … [+3188 chars]"
The Associated Press,Tehran targets Bahrain and Kuwait after US strikes,"The regional crossfire raised the risks that an interim agreement to halt fighting in the war could break down, putting the Middle East again at risk of a wider conflict.",https://www.npr.org/2026/07/08/g-s1-132460/us-iran-attacks,2026-07-08T05:36:30Z,"DUBAI, United Arab Emirates The U.S. military attacked Iran early Wednesday after it said Tehran struck three ships in the Strait of Hormuz, part of an American effort that also revoked the Islamic R… [+4699 chars]"
"Elise Spenner, Chris Boccia",How the US-Iran ceasefire and MOU broke down -- a timeline,US-Iran cease-fire teetered on the edge when the US completed a second round of strikes in retaliation for Iranian strikes on commercial vessels in the Strait of Hormuz.,https://abcnews.com/Politics/us-iran-ceasefire-mou-broke-timeline/story?id=134622392,2026-07-09T23:36:11Z,A ceasefire struck between the U.S. and Iran to pause its full-scale conflict teetered on the edge of total collapse Wednesday when the U.S. completed a second round of strikes in retaliation for Ira… [+4723 chars]
JON GAMBRELL,US bombing of Iran expands as American troops killed and Tehran retaliates against the Gulf states,The United States conducted a new round of airstrikes early Monday targeting Iran after announcing the death of another American service member.  Iran respon...,https://www.yahoo.com/news/world/articles/iran-launches-attacks-latest-round-034421338.html,2026-07-20T03:44:21Z,"DUBAI, United Arab Emirates (AP) The United States conducted a new round of airstrikes early Monday targeting Iran after announcing the death of another American service member. Iran responded by lau… [+3337 chars]"
"Katie Bo Lillis, CNN","With bombing campaign unlikely to change Iran’s posture according to US intel, Trump faces limited options","Two weeks into a renewed bombing campaign against Iran, with US forces taking casualties and allies wary of the conflict escalating further, President Donald...",https://www.cnn.com/2026/07/23/politics/iran-war-trump-options-hormuz,2026-07-23T13:27:58Z,"Two weeks into a renewed bombing campaign against Iran, with US forces taking casualties and allies wary of the conflict escalating further, President Donald Trump insists that Iran is ""desperate"" to… [+7556 chars]"
Chris Panella,The US Navy's new sea drones have gone from rescuing downed airmen to blowing up Iranian targets,"Last month, the US Navy's Corsair sea drones made by Saronic rescued downed US airmen. More recently, they were used in an explosive attack on Iran.",https://www.businessinsider.com/us-navy-sea-drones-rescuing-airmen-attacking-iran-2026-7#article,2026-07-13T19:44:52Z,"From rescuing downed airmen to first combat uses, sea drones are seeing use in Iran.US Central Command
<ul><li>The US Navy has been using Saronic Corsair sea drones in new missions.</li><li>In June,… [+4157 chars]"
